"Mithril  Revised: Wednesday, February 28, 2024",,,,,
          Revision: ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Bill Of Materials          March 8,2024      14:21:47",Page1,,,,
,,,,,
Item,Quantity,Reference,Part,Manufacturer Part Number,Manufacturer Name
______________________________________________,,,,,
,,,,,
1,4,"C89,C91,C107,C166",22 pF,C0805C220J5GAC7210,
2,2,"C92,C110",1.1pF,CBR06C119B5GAC,
3,2,"C94,C111",2.2uF,C0805C225J4RACTU,
4,4,"C109,C112,C146,C150",100pF,GRM0335C1H101JA01D,
5,2,"C124,C125",1.5pF,GRM0335C1H1R5CA01D,Murata
6,7,"C127,C128,C156,C158,C163,C164,C165",0.1 uF,C0603C104J5RACTU,
7,7,"C130,C131,C134,C167,C168,C169,C170",100nF,8.85012E+11,Wurth Electronics
8,2,"C132,C136",47uF,CL21A476MRYNNNE,Samsung
9,4,"C133,C135,C145,C149",10uF,CL21A106KOQNNNE,Samsung
10,2,"C143,C151",1.8pF,GRM1555C1H1R8CA01D,Murata
11,2,"C144,C152",3pF,GRM1555C1H3R0CA01D,Murata Electronics
12,2,"C147,C154",3.3pF,GRM0335C1H3R3CA01D,Murata
13,8,"C148,C153,C155,C157,C159,C160,C161,C162",33pF,GRM1555C1H330JA01D,Murata
14,2,"IC2,IC3",PE44820B-X,PE44820B-X,Peregrine Semiconductor
15,2,"IC4,IC5",HMC400MS8ETR,HMC400MS8ETR,Analog Devices
16,1,IC8,WP4P1+,WP4P1+,Mini-Circuits
17,2,"IC9,IC10",GRF5112,GRF5112,Guerrilla RF
18,1,IC12,GRF2133W,GRF2133W,
19,1,IC13,GRF2133W,GRF2133W,Guerrilla RF
20,2,"IC14,IC15",MMG3014NT1,MMG3014NT1,NXP
21,2,"IC16,IC17",LTC1563-2IGN#PBF,LTC1563-2IGN#PBF,Analog Devices
22,4,"J6,J7,J8,J9",CONN_001P_000C_1,RF2-04A-T-00-50-G,ADAM TECHNOLOGIES INC
23,1,J18,1-5103308-3,1-5103308-3,TE Connectivity
24,2,"J19,J20",CONN2_M20-999_1x2,M20-9990246,Harwin
25,2,"LED1,LED2",LED,LTST-C191KGKT,LITE-ON
26,2,"L17,L22",2nH,LQG15HS2N0S02D,Murata
27,2,"L18,L20",3nH,LQP03TN3N0B02D,Murata
28,2,"L19,L21",10nH,LQG15HS10NJ02D,Murata
29,2,"L23,L26",18nH,LQP03TN18NH02D,Murata
30,2,"L24,L25",33nH,LQG18HN33NJ00D,Murata
31,2,"L27,L28",15nH,LQG15HS15NJ02D,Murata
32,2,"R18,R19",47K,ERJ-2RKF4702X,
33,3,"R21,R46,R109",1k,RMCF0402FT1K00,
34,2,"R23,R50",1.5k,ERA-2AEB152X,
35,2,"R44,R45",4.7k ,RMCF0603FT4K70,
36,2,"R47,R51",50,RT0603BRE0750RL,
37,8,"R52,R55,R79,R80,R81,R82,R84,R87",0,ERJ-3GEY0R00V,
38,4,"R76,R83,R88,R90",3k,ERA-3AEB302V,Panasonic
39,2,"R77,R85",2k,ERJ-2RKF2001X,Panasonic
40,2,"R78,R86",1.5k,ERA-2AEB152X,Panasonic
41,2,"R89,R91",75,RC0402FR-0775RL,Yageo
42,2,"R94,R95",1k,RMCF0603FT1K00,
43,12,"R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108",90.9k,RC0402FR-0790K9L,Yageo
44,1,U7,MCP6001UT-IOT,MCP6001UT-I/OT,Microchip
45,1,U8,LM2904_D_8,LM2904DR,Texas Instruments
46,2,"U10,U11",5002,5002,Keystone Electronics
47,2,"VR1,VR2",PVG5A503C03R00,PVG5A503C03R00,Bourns
48,1,XTAL1,CVCO55BE-1530-2700,CVCO55BE-1530-2700,Crystek Crystals
